	comment	label
92	20_ - 100___ __ ___ __ _ __ _ ___. ____ ___ ____ ___ ____ ____. 50_ ____ _____ _ ____ __ ____. ___ ___ _ __. ^^ 10_ ___ 10_. 	1
93	___ _____ ___ __ ______..___ ___ _____?____ ____ ____ __ ___ 486___ ___ ____ ______ __ _____ 	1
94	_____ ___ ___ ___ __ _ _ ___ __... 	1
95	__ ___ _______ ______ ___ ____ _____  _____ ( __ '__' ) _____ _____ ______.  __ ___ ___ 10_ ____. _____ __ ____ ______ ______ _______ _____. 	1
96	___ ______ ___ __ _____ ____ __ _____..__ ___ ___ ___ __ __ _____ ____ ______ ___ ____ __ ____ _____ 	1
97	_____  ______~~^^ 	1
98	___ _____ ___ _______ _ _______ ___ _______ ___ _____ _______ 	1
99	___ __ ___ ___ _____?? _____?? ___ __ _____ _______... ___ _______ ___ ___ ___ ____ ___ ___ ____ ______ ____ ___ ___ __ __ ___ 	1
100	___ ______ _____ _____ ____ ____. 	1
101	____ ___ ___.. 	1
102	___ ___ _____ _____~~^^ 	1
103	______.._________________________.. 	1
104	_!_!____ ___ ___! 	1
105	__ ___ __ _ __ ____ _____ 	1
106	__ ____ _____ __ ___ ____ __ __ ____ ___ ____ __.. ___ __ ___ ______ __ ________ 	1
107	____ ___ ___ __ __ 	1
108	_____ ___ ____ __ ___. __ __ ___ ___ _____. ___ ___ __ ____ __. ____ __ ___ __ ___ ____ __ __ ___ __. 	1
109	___ __ _ ____ ___ __ ______ ______ 	1
110	__ __ ___ _30_ ___ 	1
111	___ 1____ ____ __... ___ ____ ___ ____ ___ 	1
112	_____.. _____!! 	1
113	__ ___ _______ ___ ______ _ ___ ___ ___ ___. ___ ____ ___ ___. 	1
114	_____ ______ 	1
115	_____ ___ _____ __ 	1
116	"____, ____ ___ ___ __ _____ __ ____ ______~!! "	1
117	____ ___ ____  __ ______ ___ ___ __________ _____ 	1
118	"____ __ 10_, ____ _ __. "	1
119	____________  _________ 	1
120	_ __ ___ ___ ___ 	1
121	____ __. ___ ___ 9___ ___ ___ 5____. ___ ____ __ __ __ ___ ___. 	1
122	____ __ ____ ____ ___ ____ ______~ 	1
123	__ __ ____ ___. __ ____ ___ ____ ___ __ ___ ___ _____. __ ____ __ ___ ___. 	1
124	____ ________ __ __ __ 	1
125	___ ___ ____ ___ _____!__!! 	1
126	___________!!~~ 	1
127	"_ __ ! __ ___ ___ __ ___ _ ____. ___ ___ ____ __, ____, __, __ ___ ___ __ ___. __ ___ _ _____ _ __ ___ __. _____ _ __ ____ __ ____ ___ ___. "	1
128	__ _______ __________ ___ __________ ___ ____ 10___ ___ __ ___ ______ ___ ___ _________~~~^^ __ 	1
129	_ _____ ______ ____ _____ ___ _____ __ __? 	1
130	_ ___ _ ___ ___. ______ __ ___ __ ___ ____ ___ ___ ___ ____ 	1
131	___ ____ ____ 	1
132	__ ____ ______. ___ ___ __!!! 	1
133	___ ___ __ ____. ____ __ ___ ____ ___ __ ____._ ___ __ ____. 	1
134	___ 14____ __ ____. 	1
135	_____ ________ 	1
136	__ ____ _ _______ ___ ____..____ ___ ______ 	1
137	_____ ___ _ __ __ __ ______ ___ ___ _____ __ _____ _ ___ ___? _ __ __ ____ ___ ____ ___ _____?^^ 	1
138	________ ______ ____ 	1
139	___ _____ ________ ______ 	1
140	__ ___ ____ ______ ___ ____ ____ ___ ____ ___ ____~__ _____ ___~____ ____ ___ __ __ __~___ ___ ___ ____ ___ __ _____~_______ ^^ 	1
141	_____ ___ __ _ __ ___ __ ____ ____ _____ 	1
142	__ ___ ___ __ ___ 	1
143	_________ ______ ___ _____ _____ _____ _____ 	1
144	______ __ ___ ______ 	1
145	____ ___ ___ __ ____ ___ _____ ________. 	1
146	_____ __ ____.  ____ _____ ____ 	1
147	___ ____~__ _____ _____.______... 	1
148	"____ ___ __ __ ___ ____ , ___ ____ _____ ....__ 20_ ____ ____ _____... "	1
149	__ ___ ______. 	1
150	50___ ___ __ _____ ________. _____ ____ ______. _____. ____ _____ 	1
151	_____ ___ ___ ____ ___ ___ __ ____ ____ __ _ ____ ____ ______ __ _____ ____ __ ____ ____ ___ ___ ___ ___ 	1
152	______ _____ 	1
153	___ ____ __ ____ _____ _ ____ ___ _____ __ ___ __ ___ _ __ ___ 	1
154	___ __ ____ 6.25___ ______________ ___ _ _______ ____ _ _______ 	1
155	_____ _ __ _____~~^^ 	1
156	"_____ ___ __ __  ___ ___ ____ _____, "	1
157	____ __ ______.. __ __ __ ____.. 	1
158	____ _ __ _____ __ 	1
159	___ _______. 	1
160	____ __ ____ ____... 	1
161	____ ___ _______. 	1
162	___ _______ __ ___ ______ ____ __ ____ ____ _____ _____ _______ __ ___ __ ___ ___ ____ ______ ______ 	1
163	____ ____ ___ __ _ _____ ______ ____ ____ __ __ ___ __ ___ ___ ___ ____ __ ___ 	1
164	_______ _____ 	1
165	___ 10_____ ____ __ _____ 	1
166	__.. __... __. 	1
167	__ ___ _______. 	1
168	_____ __ ______ __ ____ ____ ___ _ ___ ____ _ _____ __ ___ ___ ____ ____ __ '_'__ '_'__ '__'_ ____!!! 	1
169	___ ___ __ ___ __ 	1
170	_____ _X_X__ _ _____ 	1
171	________ _ ______.._______ 	1
172	____ ___ __!!! 	1
173	__ ___ ___ ___ ___ _______ ___ ________.. _______ _______ ____ ____ ________ _______. ___ ___ ___ _____ __ ______... _____ ____ _______ 	1
174	___ ______________...________________ __ ____________________________________________?.. 	1
175	"__,____ ______... __ __ ___ __ ___ ___ ____ ___ __ ______. ___ __ ___ ___ ___ _____ ____ ___ ___ ____ _____ ___ ____. ___ _______ ___ ___... "	1
176	__ __ __ ___ ___ ____... __ __ ____ ___ ___ ____ ____ _____ ___ ____.. ___ ______ ____ ____ . __ ___.. _ _____..  ___ ____ _____. 	1
177	__ _ &#34;__ ___ ____ ___ ____&#34;__  __ ___ ___ __  _ __ _ ____. ___ ___ ___ _____ ___ ____ ____ __ _ ___ _____ ____ ____. 	1
178	_______..___ ____ ___..___ __ BGM __ ______...___ ______ ____! 	1
179	___ _____ __ ___ _____.______ _____ ___... 	1
180	__ __ _____. ___... 	1
181	"______,_____ "	1
182	"_____ ___...___, __ __ ___..____...___ ____...____ 40_..._____ __ ___ ___ ___ ____... "	1
183	___ __.   ____ 	1
184	__________!_____________!! 	1
185	________ 9~10___ ___ _ ____ 5~6__ __ _____ ___ _ __. 	1
186	____ ___ ___. _____ __ ____ _____ ___ __. ____ ____ __ __ ___ ____. 	1
187	____ __ ___ _____ 	1
188	___ _____ _______. __ ____ ___ ______ ____ __ _______. ___ _____.  _____. 	1
189	____ ______ __ ___ ___ ______. 	1
190	________ ___~^^_______ _____ ______~_________~____ ____ 	1
191	_!!!!_______ __ 	1
192	____ ___ ___ __ ___? __ _ ___ ____? _ ___ __ _ ___? ___... 	1
193	__ _____. ____ ___ __ __ ...____ ____ __ ___. __ ____ ... 	1
194	___ ___ ____ ______  __ ____  ___   ___ _ 	1
195	__ ______ __ _____!!!__ ______ __________ _____ ___ 	1
196	__ _ __ _.. _____!! 	1
197	__ ___ ___ ___ ___ ____ 	1
198	_____ ___ _____ _ 	1
199	_ __ ___ ___ ___ 	1
200	_________________ 	1
201	____ ____ ____ ___ ___ ___ ___ __ __ _____ __ 	1
202	__ __________ __ ________ _______ 	1
203	___ __ ___ __ __ ___. __ ___.__ ____ ___ _ __!!!_ __ _ ____ ___ ___..____ ___..____ 	1
204	 _ ___ __ __ _____ ____ _____~__  ______ __ ____ ____ ____~ _____ 	1
205	____ ___ _______ 100__ ___ ___ _ ______ _____ ___ ___ _ ___ ____ ___ _____ 	1
206	_____ ___ ______ ___ ___ ____. _ ___ ___ __ ___ __ ___ _____ _____ __ _ _ ___ __ ____ __ _____ ____ ____ ____. 	1
207	"_____ _____ ___.____ __ ____, __ ___.________ _______ _ ___ ___ __________.___ ___ _______. ___ _______ ______ ___ ___ _! "	1
208	_____ ____ __ ___ ____ __ 	1
209	_______ ____ _____ _________ 	1
210	___ __ __ _____~~ 	1
211	_________~____________.___.___~______________. 	1
212	__________ 	1
213	___ ______. ____ __ ______ ____. 	1
214	___ _________ ____ ____~~~ 	1
215	__ __ __ ______ _____.. __ _____ _____.. 	1
216	___ ___ ____ _____ ____ __ __ ___ 	1
217	_____ _____ ____ _ __ __ ___ ____ ___&#34;_ _ __ ___&#34; 	1
218	______ ____ 	1
219	__ 1_ ____ __ _____ ___ ___ ______ _____ ____ ____ ________ __ __ __ ________ 1_ ______ ____ ____________ 	1
220	2030_________ 	1
221	____ __ ___ __ _ ____ ____ 	1
222	____ __ _ ___ ___ ___ __ __? __ _ ___ __ __!! ___ ___ _ _ _ __ ______^^ _____~ ____ ___ __~ 	1
223	__ ______ ___ ____ ____ ____________ ______ _ _____ __ ____ ___ ___ _____ _____ 	1
224	_____ ______ ____ _____ 	1
225	___ _______ __ ___ 10____. ___ ______ _____ ___ ___. . __ _____ ____ ___ 	1
226	"6.25 _ __ ___ ___ ___ ____ ___ _____ __ ___, __ __ ___ ___ ____ _____ ___ ___, ___ ___ ____ ___ ____ ____ ___ ____ ___._ ___ ___ __ ____. "	1
227	__ ______ ___ _____ 	1
228	__ ___ ___ ____ ______ ___ ___... 	1
229	____ ___ _____ __ ___ __ ____ ___ 	1
230	____ ______... __ _______ ______  _____ ___ ___ 	1
231	__ ____  ____ 	1
232	__ ____.  _____.  ______ ________ ___ ____ ______ __ __ ________...  ___ _ _____.  ___ _______ _______..  ___ ____ __ ____ _____ __ ____ 	1
233	___ ____ ____ _____ _____ 	1
234	____ ___!_____ ___ ____ ___ ________ _____ __!!! 	1
235	_____ ___________________________ 	1
236	__ ____ __ _ __ 	1
237	___ ______ ___ ____ ___ 	1
238	"__ ___ ____ ____ _____ _____ ___ __ __ ___ ___ __ _______ ____ __ _ ___ ___ _____. ___ ____ ____ __ ___ ___,__ _____ ___ _ _ __ ___. "	1
239	____ ____ __ ____ ___ __! 	1
240	_ ___________ _______ 	1
241	__ __ _ _ __ ___ ___ ____ __ ___ _____ ___ _ __. ___ __ __ ___ ___ ___ ___ _ _ ___. 	1
242	__ ____ ___ ___...__ ___ ___ __  ___ ___ ___...___ ___ ___ ____ __... 	1
243	___ ____ ___ __ 	1
244	___ ______ _____. ______ 	1
245	____ __ ___ ___ ____. 	1
246	____ ___ ___ ___ 	1
247	___ __ !!!! __ __ ___ 	1
248	__ _____..__!!!! 	1
249	_____ ____ ___ __. _____. 	1
250	______ ____ ___ ___ _ ___ _____ ___ ______ ___ ___ ______ __ __ ____ ___ ___ _ ___ __ __ ___ ____ __ ___ __ _ __ ___ __ _____? 	1
251	__ _______ 	1
252	__ ____ ______ ____ ___ ___ ___!__ 	1
253	___________ 	1
254	____ _____ ___ __ _ ____ ______ ___ __ ___ ___ _____ _________ __ ___ ____ _______ 	1
255	__ ____ __ 10___ _ ___ 	1
256	______ __ ____ _________ 	1
257	_____ ____ ___ ___ _..._____ ____ ____ ___ _...___ ___ _ ___ __ ___ __ __.___ __ __ __ __ ___ __ __ _ ___ _____. 	1
258	_____ _____ _________ ___ ______ __________ _____ ____ _____________ __________ 	1
259	"___ ___ ___ __21 __ ___ ___ ____ __ ______ ___. ______ ____ ____ __, __ ____ ___ ___ ___ ___ ___ ____ __ __ ____ '__ __'_ ___ __. __ ____ __ "	1
260	________ _____ __ ____ ______ ___ ______ _________6.25__ _ ____ _________ __________ _______________ ______________ _______ 	1
261	_____ ___ ____ ______. 	1
262	"__ _____ __ __ _____. _ __ ____ ____ __ _____. __ __ ____ __ __ __ ____..__ ___ __ ______. ___, ____, _ __ _____ __ _____. "	1
263	____~~____ ___ ____ ____ 	1
264	"_ ___ ___ ___ ___, ___ __ ____, ____ __ __ _____. __ __ ___ ___ ____ ___, _ ____ ___ ____ ____ ___ __ _ ___ _ ____. "	1
265	__ __ ___ ____ _ ___ ___ 	1
266	___ _ ___ ___ __ ____ _____. 	1
267	____ ___ ___ ______ _________ ___ __ _____ ______ 	1
268	__ __ 21__ _____ __ __ __ ____ ___ _ ___ __ ___ ____ ____ ____ ___ ____ ___ ___ _____ _____ __ __ __ ___ _ ___ ______ ___ __ ___ ___ _____ 	1
269	__ __ __ __ __ 	1
270	____ __ ___ ______ ___ 	1
271	____ ____ _______ 	1
272	_____ ___ ____ ___ 	1
273	____ ___ ___ __ ____ ___ _______ _____ ____ __ 	1
274	__ ____ ___ ____ ______ ___ __ __ __ ____ 	1
275	___ _________ ________________ ___________________________________________________ ________________ 	1
276	__ ___ ___ ___!____ ___ _ _ _ ___ 	1
277	__ ____ __ _____ ____ 	1
278	"____ ___ ____ ____ ____...___ ____ __ ______ ______ ____ ___. , "	1
279	______. __ ______. _ ___. 	1
280	____ ____ ___ ____ ___..._ ____ ____ _____ _______... 	1
281	___ _____ ___ ____ __ _______ _______ ________...___ ______ _ ___ __ ________. 	1
282	____ ___ __ __ _____ ___ ____ __. 	1
283	37____ __ ___ ___ __________ ______ ______ ___ ___ ___ ____ ____ ____ ___ _________.. _____..__ ___ ________ 	1
284	____ ___ ___ ___ 	1
285	_... ____ ___ __ ____ 	1
286	_______ ____ 	1
287	__ _____ ___ __.  __ ____ ___ ___. __. __ ___ __ ___. ___ ___ 	1
288	_________ ___ ______ 	1
289	27___ ________________ __ _____________   _______________________  ___ ______ ___________ _____ __________ 	1
290	_____ _ __ ___..___ ___ _ __ ___ ___ __ ___ . _____ __ __ __ _____. 	1
291	"__ ___ ____...._____..!! ____ 1000___ _ __,.. ____ __ __ __ __... __ ____ ___ __, ___ __ ____ ____ ____ __.... "	1
292	__ __ ___ __...__ ____. 	1
293	__ ____ __ _____ __ _____ 	1
294	___ ___ ___ ___ _____ ___ ___..__ _____ ____ __ _ ________ ___ __ _____ 	1
295	_ __ __ ____ __ ____ __ ___ __ ___ __ _____ ___ _ _ _ ___ ___ 	1
296	_ ___ __ ___ _ ____ ___ _ __ __ ___ __ __! 	1
297	___ ____ ___ __ ____ ___... _____~~ 	1
298	___ __ _ _____ 	1
299	___ _____ ___ 	1
300	___ ____ ____ ____;; ____ ___ _ ______ ______ ___ ____ ______ __ ___ _________; _____ ___ ___ ___ ______ __ _ ____ __. ____ __ _____ ____ 	1
301	___ ____ ___ _____... 	1
302	____ ____ ___ ____ _____ ____. _____ 	1
303	"__ __ ___, ___ _ ____ _____. ____ _ ___ _ __ ____ ___ __ ____ ____ ___ __. "	1
304	______..____ _________ ___ ____ _____ _________ ___ _____ _____ ____ ___ __ _ _______ _____ _____.. __ ____ ___ ___ 	1
305	"________. _________ _ ___________, ___________. _______________ "	1
306	______...___..__ 	1
307	___ _ __ __ ____ 	1
308	__ ____ __ __ _____~ 	1
309	________ __.~~~_______ __ ____ _______ __ 	1
310	____ CJ __ ___ ___ _____ ___ __ ____ __ __...___ ____ ____ ________ _____..._____ ___ _____ __. ___ ___ ___ __ _______. 	1
311	___ _____ ___ _____ ____ ___ ___ ____. 	1
312	_ _ ___ ____ _____ __ ____ ___.___ ___ _ ____. ____ __ ____ ____ ____ ___ ___? 	1
313	__ _____  ____ __ 	1
314	__ ___ ___ ______ _____~ ______ 	1
315	"___ ____ _ ______.  50__ ___ ___ ___ __ __ ___ __ ___, __ __ ___ __ ___ ___  ____ ____,  ___ ___ ___ _____ ___ __.  __ ____ ________ __ ___. "	1
316	____ _____ __ _______ __ 	1
317	___________ ___ ___ 	1
318	____ ____________ 	1
319	__ _______ ______ 	1
320	__ _____ ___ ____ __ __ __ _ ________... 	1
321	______ ______ _________ _______ ____..._____~ 	1
322	____~_ ____^^ 	1
323	______ _ _____ 	1
324	____ _____ ____ ______ _____ 	1
325	__ ___ __ ____ ____ __ ____ _____ ___ __ ______ __. ____ __ __ ____ ____ ____ __ _ __ _____ ____ ____ __ ____ ___... 	1
326	____ __ ____ _ ______~_____ _ ________^^ 	1
327	_ __ ______ ____ ____ ____ __ ___. _____ ___ ________ __ ____ _______ ____ ___ ____ ___ ____ 	1
328	_____ ___ _____ _____...__ 	1
329	____ ___ ___ _____. 	1
330	___ _________ 	1
331	"__ _ ____ _____. _ ___ __ _____ __ __ ___ _____..___ __ ____ ___ __ ___. __ __, __ ___ __ ___^^ "	1
332	___ __ ___ _____ 	1
333	____ __ __  _____ ____ _ 	1
334	______ ___  ___ 	1
335	_________ 10___:) 	1
336	___ ___ ____ ____ ___ ____.  ____ __ ______~ ____  __ ___ ___ _______ ______~^^ ____ _______._____ _____ ____ _______ 	1
337	"_ __ ___ ___ __ ____ ___ __ ____, ____ ___ "	1
338	__ ____ __ ____ _ _ ___ ____ _____ _____ ____ ________ ___. 	1
339	____ _______ __ 	1
340	_ _ ___ ___ __ __ ____;; __ _____ _______ 	1
341	___ ____ _______ ____ 	1
342	____ ___ __ ______ 	1
343	______ ___ _____~^^ 	1
344	_____ __ _____ __ ____ __ ___ _________ 	1
345	"____, ___ ___ _ ___ __ __ _____ ____! "	1
346	__ __ _____ _ ___ ___ __ ______ 	1
347	__ ___ _____. 	1
348	___ ___ ___ _____ _____ __ 	1
349	"______ __ ___ ________ ____ ___ ___ ___, ___ __ ____ ___ ___ ___ __ __. _____ ____ ______ ___ ___ ___ ___ ___ ____ ____ ____ _____. "	1
350	___ ____ ____~ __ ____ __ ___ __ __ ___ ___... __ __ ___ ___ ______. 	1
351	____ _ ___ ____ ___ __ ___ _____! __ __ ___ _ _ ___ ___ __ _____ _____ ___ ____! 	1
352	"___ ___,____ ___ __ ___ _____ ___ __ ____ ____ ____ _______ ___ _____ ___ ____,_____ ______ ___ ___ __ "	1
353	_________ ____ 	1
354	"__ __ __ ____~~___ ____, ___, _____, __ _ __ ___ __ ____ __ 1___ ____ _ __. __ __ __ __ __!       _ __ ___ __. "	1
355	___ ___ __ __ _____ __ __ ____ ___ ___ ___ __ ___.. _____ ___ _________ ________ ______ 	1
356	____ ________..__ __ __ 	1
357	____ _____ __ ___ ____. 	1
358	___ ______ ___.. _ ___ ___.___ __. ___ ___ __ _____ ___ _____. __ 	1
359	___~~~___ __ ___ ___ __ 	1
360	________!!! 	1
361	__ _____ __ __ __?? __ _____ _____ __ ___ ___ _ ___ ___ ___ ___ _____.... _ __ _____ ___ _.. 	1
362	__ _ __  _  ____ __ 	1
363	____ __ ____ ______._____. 	1
364	__ __ ____. ___ ___ ___. __ __ ______ _____. ___ ________ ____ __ _____ ____ ___ ____ __ __ ___ _____. _____. ___ ___ ____ ________ _____. 	1
365	___ ___ CJ ___ ___ _____ ____ CJ_ ___ __ __ 	1
366	___ ____ ____ ___ ___ __. _____ ____ 	1
367	____ ___ ___ __ __ __ ______ 	1
368	____ ____ __ _____ 	1
369	"___ ___ ___ _____ __ ____ ___ _____. _____ ____ _ _ __, ___ __ __ ___ __ ____ _____, __ ___ ____ ___ ___ ___ __ _ ___ ______ ____ __ ___ __. "	1
370	"__ _ ___ ___, _____________... "	1
371	______ ______ __ ___ __ 	1
372	"_____ __ __ ____ _____ ____, __ ___ ___ ___ _____ ___ ___ ___ ____ 2015_ __ __ __ ___ ____ ____ ___ __.. "	1
373	___ ___ ____ _____ ___ ______  ___ ______  __ __ ____ _  ____  ___ __  __ ___  ________  __ ___ 	1
374	_  ____ _____ ___ ____ 	1
375	___________ __ _______ 	1
376	______ ___~ ______ ___ _______ 	1
377	__ ___ _____ 	1
378	____ __ ____ 	1
379	____ ____.. 	1
380	____.._______ 	1
381	___ ___ ___ __ 	1
382	___ ___ _____..____ ___ 80________ TV____ _______ _______.._ __________..______.. 	1
383	__ ___ ___ ___ __ _ __ ______. __ ______ _____ ___ ___ ____ __ ____ ___.. 	1
384	_____________ 	1
385	____ _ ____ __ ____ ___..bb 	1
386	____ __ __ ____ ____ __ ___ ____ ___ _!!! 	1
387	____ _ ____  ___  _ __ ___~!___  ____  ____   ___ _____~ ` 	1
388	___ ___ __ __ ____ ___ ____ ____ ___ ____ __ ___ ___ ____. __ __ ____ ___ ___ ____ ___ _____. ______ __ 3__ __ _ ____ ____. 	1
389	__ _ __ ____ _ __. ____ __ __. 	1
390	__ __ ___ __ ___ ___ ___ ____ __. 	1
391	__ _____ ___ ______ ___ ___ ______!!! ____~~!!! 	1
392	__ ___ ___ ____ ~ 	1
393	_____ __ _____.  _______ __ ___ ___ __ ______ ___ ____ _______ ___ ___ ___ _ _ ___ ____.  __ __ _ _____^^ 	1
394	__ ___ ___ __ ______ ___ __. 	1
395	___  __ _  __ ___ 	1
396	_____ ____ __ ____ __ __ ____ _____ ___ ____ _____. 	1
397	______ ____ ___. 	1
398	__ _____ _ __ __ __ __ ___ ___ ___ __ __ ____ ___ __ __ 	1
399	__ ____ ___ _ ___? 	1
400	100__ __ 10_ _ __ ___ 	1
401	___ ______ ___ ____ ____ ___ ___ ____ _____ ____ __. ___ ___ ___ _____ ____ _ ______. __ ___ _____ ______ ___ _____ _______ _ _____ _____. 	1
402	__ ____ ____. ____ _____ _ ___ __. 	1
403	_____________ 	1
404	__ _____ __ ___ __ __ _____ 	1
405	.8_ 20___ __ ___ _____ ___ _____. ___ ____ ___ _____ ___ ___ '_____!!' ___ _______ ____ _ ____ ____ ____ ___ ____ ____ ___ __ _____ 	1
406	_____ _____ ___ ___...___ ____ _____!!! 	1
407	"__ _____, ___ __~ "	1
408	__ ___ __ _________ 	1
